Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
"For Sale: 3BR Single Attached-Complete House and Lot in North Orchard Residences, Sta. Maria, Bulacan",2,3,2,112.36,80,North Orchard Residences,5182963,House
"4-Bedroom House and Lot (Gisella Model) for Sale in Suntrust Verona, Silang, Cavite",2,4,0,116.64,176,Verona,7860000,House
"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Freya, NRFO",3,5,2,142,142,Camella Gran Europa,9045570,House
"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Greta, NRFO",3,5,2,166,210,Camella Gran Europa,12167725,House
"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Ella, NRFO",3,5,0,100,110,Camella Provence,7226000,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Ezabelle, NRFO",1,2,0,46,60,Camella Gran Europa,3333825,House
"4-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Dani, NRFO",3,4,1,83,99,Camella Savannah,6400000,House
"3BR Townhouse for Sale at Zen Homes in Village East Executive Homes, Antipolo City | 6.5M",2,3,1,78,70,Zen Homes,6500000,House
The Gentri Heights: Haila 2-Storey House for Sale in General Trias Cavite,4,4,1,107.78,120,The Gentri Heights,5548360,House
"3BR Single Attached-Complete House and Lot for Sale in North Orchard Residences, Sta. Maria, Bulacan",2,3,2,112.36,80,North Orchard Residences,5182963,House
"3-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2,3,1,81,110,Ajoya Cabanatuan,4700000,House
"L-R-1-1028- Acquired Property for Sale in Lot 26, Block 18 (PCS-3458), No. 3041 Zaratoga St., Fairlane Subdivision, Brgy. San Roque & San Rafael / San Vicente, Tarlac City, Tarlac",1,1,0,289,245,,5151000,House
"5-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Freya",3,5,1,140,121,Camella Baliwag,7909100,House
"2-Storey 4BR House and Lot (Jazmine Model) for Sale in Governor's Hills, General Trias, Cavite",3,4,1,160,154,Governor's Hills,6841640,House
"4-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -ALEXANDRA Model",3,4,2,100,120,Lancaster New City,7410000,House
"3BR House and Lot for Sale in Las Brisas at Tierra del Sol, Tanza, Cavite",2,3,0,112.5,72.5,Las Brisas at Tierra del Sol,4336908,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L65 (LILY-INNER)",1,1,0,34,52,Marytown Place,1013431,House
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Greta, NRFO",3,5,0,166,156,Camella Taal,9753000,House
5-Bedroom Single Detached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,3,5,1,107,141,Ajoya Pampanga,5200000,House
"2-Storey 4BR House and Lot (Orabella Model) for Sale in Siena Hills, Lipa City, Batangas",3,4,1,147.23,176,Siena Hills,7860710,House
"2-Storey 3BR House and Lot (Ysabella Premium) for Sale in Governor's Hills, General Trias, Cavite",2,3,1,109.5,120,Governor's Hills,5039190,House
"Azalea 3-Bedroom Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",2,3,1,65,60,Primavera Homes Phase 2,2698000,House
"House and Lot with 5 bedroom for Sale in Verona, Lumil, Silang-Amadea",3,5,0,179.02,176,Verona,9268000,House
"N-R-1-75- Acquired Property  for Sale in Lot 3, Block 2, Avenida Torino St., Camella Tagum Subdivision, Brgy. Visayan Village, Tagum City, Davao del Norte",1,1,0,97,110,,3447600,House
"5BR Single Attached House and Lot for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",3,5,2,150,150,The Villages at Lipa,7900000,House
"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Greta, RFO",3,5,2,166,166,Camella Gran Europa,12254710,House
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Andorra-Bare Inner Unit",1,3,1,62.5,50,The Arcadia,2624075,House
"2BR 2-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavite | Cielo Ph 2",2,2,1,96.2,100,Ara Vista Village,4353328,House
"2BR Townhouse House and Lot (Stanza Model) for Sale in Gran Avila, Calamba, Laguna",1,2,0,43,47.25,Gran Avila,1840805,House
"M-R-3-108- Acquired Property for Sale in Unit 506, 5/F, Sapphire Building 2-A, Fini Homes Condominium, No. 80, Ramon Delfin St., Brgy. Marulas, Valenzuela City - Sub",1,1,0,51.44,,,2797145,House
"4-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ADELLE Model",2,4,1,70,60,Lancaster New City,3336800,House
"2BR Townhouse House and Lot (Stanza Model) for Sale in Gran Avila, Calamba, Laguna",1,2,0,43,47.25,Gran Avila,1840805,House
"2BR Triplex House (Katrina Townhomes) for Sale in Governor's Hills, General Trias, Cavite",1,2,0,88.1,74,Governor's Hills,2581630,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L3-A (LILY-CORNER)",1,1,0,34,31,Marytown Place,894144,House
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ALICE Model",1,3,1,40,40,Lancaster New City,1880600,House
"Charlize 3BR Single Attached House for Sale in West Beverly Hills, Dasmariñas Cavite",3,3,1,119.1,104,West Beverly Hills,5421509,House
"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -THEA Model",2,3,1,60,50,Lancaster New City,2395000,House
"3BR House and Lot for Sale in Las Brisas at Tierra del Sol, Tanza, Cavite",2,3,0,112.5,72.5,Las Brisas at Tierra del Sol,4336908,House
"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ALICE Model",1,3,1,40,40,Lancaster New City,1880600,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L56 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"4-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ADELLE Model",2,4,1,70,60,Lancaster New City,3336800,House
"3-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - with Special Offer",2,3,2,100,200,Seafront Residences,11300000,House
"Catherine 3BR Single Attached House for Sale in West Beverly Hills, Dasmariñas, Cavite",3,3,1,121.4,98,West Beverly Hills,4300000,House
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Ezabelle, NRFO",1,2,0,42,63,Camella Monticello,3109000,House
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ANICA Model",1,3,1,50,50,Lancaster New City,2389000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -MARGARET Model",2,3,1,72,100,Lancaster New City,5690000,House
"For Sale: 3-Storey 4BR House and Lot in The Villas at Dasmariñas Highlands, Dasmariñas, Cavite",4,4,0,155.06,66,The Villas at Dasmariñas Highlands,8473000,House
"Magnolia 2-Bedroom Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",1,2,1,50,60,Primavera Homes Phase 2,1995000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -CHESSA Model",3,3,2,90,100,Lancaster New City,5978000,House
"2-Storey 3BR House and Lot (Fiorenza Premium) for Sale in Siena Hills, Lipa City, Batangas",2,3,1,117.24,120,Siena Hills,6085537,House
"North Orchard Residences - 3BR Single Attached-Complete House and Lot for Sale in Sta. Maria, Bulacan",2,3,2,112.36,80,North Orchard Residences,5182963,House
"3BR Quadruplex (Kiara Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna",1,3,1,79.13,60,Sentosa,2406200,House
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -GABRIELLE Model",2,3,1,84,120,Lancaster New City,6650000,House
"4-Bedroom House and Lot (Caterina Model) for Sale in Suntrust Verona, Silang, Cavite",3,4,0,136.25,176,Verona,8466000,House
"For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",2,3,1,75,112,PTC Suncrest,5234791,House
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang-Fiorenza Standard",2,3,0,112.6,120,Verona,5941000,House
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang-Luciana",4,3,0,174.66,176,Verona,9434000,House
"3-Bedroom House (Caballero Model) for Sale in Ameria, Panabo, Davao del Norte",2,3,0,122,294,Ameria,9311032,House
"4-Bedroom House and Lot (Orabella Model) for Sale in Suntrust Verona, Silang, Cavite",3,4,0,147.23,176,Verona,8913000,House
"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Jasmine Model",2,3,0,124,388,Ameria,12000000,House
4-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Special Offer,3,4,1,91,110,Ajoya Pampanga,4400000,House
"3BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Cara, RFO",2,3,0,66,88,Camella Quezon,5110000,House
"3-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Cara",2,3,0,66,94,Camella Balanga Heights,5057000,House
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Alli",1,2,0,40,88,Camella Provence,4324000,House
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Elaisa WB, RFO",3,5,0,97,130,Camella Taal,7735000,House
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Andorra Inner Unit Complete",1,3,1,62.5,50,The Arcadia,2643963,House
"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Criselle",1,2,0,40,54,Camella Baliwag,2813000,House
"5-Bedroom House and Lot (Amadea Model) for Sale in Suntrust Verona, Silang, Cavite",3,5,0,179.02,176,Verona,9268000,House
"For Sale 3-Bedroom Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",2,3,1,75,112,PTC Suncrest,5234791,House
"2BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Arielle, NRFO/BTS/RFO",1,2,0,36,40,Camella Provence,2424000,House
"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -ALEXANDRA Model",3,4,2,100,120,Lancaster New City,7410000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -AIRA Model",2,3,1,80,92,Lancaster New City,5282600,House
"4-Bedroom House and Lot (Caterina Model) for Sale in Suntrust Verona, Silang, Cavite",3,4,0,136.25,176,Verona,8466000,House
RFO 3BR Townhouse for Sale in The Arcadia | Boundary of Angeles and Porac Pampanga | Anais-Bare Inner Unit,1,3,1,78.73,63,The Arcadia,2820800,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3,3,0,250,92,Likha Residences,29826000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Elevated Garden Unit",3,3,0,323.8,90,Likha Residences,42717000,House
"4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -BRIANA Model",3,4,2,110,100,Lancaster New City,6756360,House
"2-Storey 4BR House and Lot (Amaya Model) for Sale in Suntrust Sentosa, Calamba, Laguna",3,4,1,149.19,176,Sentosa,7032800,House
"2-Storey 4BR House and Lot (Niran Model) for Sale in Suntrust Sentosa, Calamba, Laguna",2,4,1,115.08,176,Sentosa,6396780,House
"2-Storey 4BR House and Lot (Micaella Model) for Sale in Siena Hills, Lipa City, Batangas",3,4,1,178.7,176,Siena Hills,9540880,House
"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L23",2,3,1,65,60,Primavera Homes Phase 2,2945000,House
"Zinia 2BR Loft Type Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas",1,2,1,42,60,Primavera Homes Phase 2,1638000,House
"3-Storey 4BR House and Lot for Sale in The Villas at Dasmariñas Highlands, Dasmariñas, Cavite",4,4,0,155.06,66,The Villas at Dasmariñas Highlands,8473000,House
"The Villas at Dasmariñas Highlands - 3-Storey 4BR House and Lot for Sale in Dasmariñas, Cavite",4,4,0,155.06,66,The Villas at Dasmariñas Highlands,8473000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L62 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L15 (LILY-END)",1,1,0,34,41,Marytown Place,913350,House
"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite",1,3,0,93.91,88,Verona,4956000,House
"2-Storey 4BR House and Lot (Micaela Model) for Sale in Suntrust Verona, Silang, Cavite",3,4,0,178.7,176,Verona,10592480,House
"3-Bedroom House and Lot (Luciana Model) for Sale in Suntrust Verona, Silang, Cavite",4,3,0,174.66,176,Verona,9434000,House
"3 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Sabrina",2,3,0,60,110,San Francisco Heights,4442000,House
"3BR House and Lot (Mariella Premium) for Sale in Suntrust Verona, Silang, Cavite",1,3,0,93.91,88,Verona,4956000,House
"3 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Sabrina",2,3,0,60,110,San Francisco Heights,4442000,House
"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Ezabelle",1,2,0,46,60,Camella Baliwag,3079000,House
"4-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Dana, NRFO",3,4,0,85,99,Camella Taal,6380000,House
"3-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Cara, RFO",2,3,1,66,99,Camella Savannah,5788000,House
"5BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Ella, NRFO",3,5,1,100,194,Camella Quezon,8385000,House
"4-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Dani",3,4,0,83,110,Camella Balanga Heights,5870000,House
"4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Aberdeen Model",2,4,1,124.22,143,The Arcadia,6574890,House
"4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Athens Model",4,4,2,176.62,168,The Arcadia,8982815,House
"3-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Cara, NRFO",2,3,1,66,88,Camella Monticello,5078000,House
"3BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Cara wCB, NRFO/RFO",2,3,1,66,99,Camella Provence,6088000,House
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Freya, NRFO",3,5,0,142,156,Camella Taal,8967000,House
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Gisella",2,4,0,116.64,176,Verona,7860000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -MARGARET Model",2,3,1,72,100,Lancaster New City,5690000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -AIRA Model",2,3,1,80,92,Lancaster New City,5282600,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Criselle, NRFO",1,2,0,40,60,Camella Gran Europa,3217730,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Imus, Cavite -GABRIELLE Model",2,3,1,84,120,Lancaster New City,6650000,House
"3BR Townhouse for Sale at Zen Homes in Village East Executive Homes, Antipolo City | 8.8M",2,3,2,119,98,Zen Homes,8800000,House
"2-Bedroom Townhouse for Sale in The Villages at Lipa, Brook Village, Batangas - with Special Offer",1,2,1,53,52,The Villages at Lipa,2900000,House
"2-Storey 5BR House and Lot (Amadea Model) for Sale in Siena Hills, Lipa City, Batangas",3,5,1,179.02,176,Siena Hills,8215625,House
"2-Storey 4BR House and Lot (Sofia Model) for Sale in Governor's Hills, General Trias, Cavite",2,4,1,115.08,132,Governor's Hills,6344860,House
"2-Storey 3BR House and Lot (Leia Duplex) for Sale in Suntrust Sentosa, Calamba, Laguna",1,3,1,60,80,Sentosa,2925600,House
"Bungalow House and Lot (Aeon Duplex) for Sale in Suntrust Sentosa, Calamba, Laguna",1,1,1,41,60,Sentosa,1562440,House
"2-Storey 3-Bedroom Townhome Inner Unit for Sale - Estanzia Enclave, Tanza Cavite",2,3,1,55,50,Estanzia Enclave,3000000,House
"3BR Quadruplex (Azumi Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna",2,3,1,80.93,60,Sentosa,2459200,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L14 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"3-Bedroom House (Jasmine Model) for Sale in Ameria, Panabo, Davao del Norte ",2,3,0,124,221,Ameria,10000000,House
"5-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Ella, NRFO",3,5,1,100,121,Camella Monticello,6975000,House
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Arielle, NRFO",1,2,0,36,42,Camella Monticello,2313000,House
"5-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Ella, NRFO",3,5,1,100,110,Camella Savannah,7185000,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Arielle EU, NRFO",1,2,0,36,60,Camella Gran Europa,3079935,House
"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Criselle Combo, NRFO",1,2,0,40,108,Camella Quezon,4160000,House
"4-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Dani, NRFO",3,4,0,83,99,Camella Gran Europa,6481315,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Frielle, NRFO",1,2,0,50,65,Camella Gran Europa,3930585,House
"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Alli",1,2,0,40,88,Camella Baliwag,3935100,House
"For Sale 3BR Single Attached House and Lot at PTC Suncrest in Imus, Cavite | Rosanna Model",2,3,1,75,112,PTC Suncrest,5234791,House
"2-Storey 3BR House and Lot (Celestina Model) for Sale in Siena Hills, Lipa City, Batangas",3,3,1,123.42,150,Siena Hills,6303625,House
"M-R-3-469- Acquired Property for Sale in Unit 2M, 2/F, Renoir Tower, Presidio at Lakefront (Britanny Bay) Condominium, Brgy. Sucat, Muntinlupa City - Retail",1,1,0,51.17,,,3581900,House
"Townhouse End Unit for Sale in Ajoya Capas, Tarlac - with Special Offer",2,1,1,49,86,Ajoya Capas,2500000,House
"Shophouse for Sale in Ajoya Capas, Tarlac - with Special Offer",2,1,1,99,60,Ajoya Capas,8300000,House
"4BR Single Attached House and Lot for Sale in The Villages at Lipa, Brook Village, Batangas - with Special Offer",2,4,1,80,103,The Villages at Lipa,4600000,House
Shophouse for Sale in Ajoya Pampanga (Mexico) - with Special Offer,2,1,1,102,60,Ajoya Pampanga,5200000,House
